investment_amount,opportunity_code,Category,investor_acc_number,investment_number,investment_interest_rate,daily_interest
200000.0,GW4830,Goodwood,ZERF01,4,0.18,98.63013698630137
550000.0,GW4850,Goodwood,ZERF01,5,0.18,271.2328767123288
550000.0,GW3197,Goodwood,ZVAL03,2,0.18,271.2328767123288
550000.0,GW4019,Goodwood,ZVAL03,3,0.18,271.2328767123288
400000.0,GW4593,Goodwood,ZVAL03,4,0.18,197.26027397260273
1000000.0,HVN302,Heron View,ZAMP01,1,0.18,493.1506849315069
100000.0,HVD202,Heron View,ZFER01,2,0.14,38.35616438356165
500000.0,HVJ201,Heron View,ZBUM01,2,0.18,246.57534246575344
1000000.0,HVJ203,Heron View,ZBUM01,1,0.18,493.1506849315069
150000.0,HVL203,Heron View,ZBUM01,3,0.18,73.97260273972603
400000.0,HVJ103,Heron View,ZZYL05,1,0.14,153.4246575342466
400000.0,HVO305,Heron View,ZFLA01,2,0.14,153.4246575342466
500000.0,HVJ302,Heron View,ZVER04,1,0.18,246.57534246575344
1000000.0,HVJ303,Heron View,ZVER04,2,0.18,493.1506849315069
500000.0,HVJ403,Heron View,ZVER04,3,0.18,246.57534246575344
120768.49,GW4551,Goodwood,ZMAQ01,2,0.14,46.32216054794522
300000.0,HVJ201,Heron View,ZSMI03,1,0.16,131.5068493150685
300000.0,HVJ301,Heron View,ZSMI03,2,0.16,131.5068493150685
550000.0,HVJ301,Heron View,ZMAN02,1,0.18,271.2328767123288
500000.0,HVJ302,Heron View,ZMAN02,2,0.18,246.57534246575344
1000000.0,HVJ401,Heron View,ZFOU02,1,0.18,493.1506849315069
500000.0,HVJ403,Heron View,ZFOU02,2,0.18,246.57534246575344
604260.27,HVL201,Heron View,ZHAL03,2,0.16,264.8812142465754
115099.32,HVE102,Heron View,ZFER02,2,0.14,44.147684383561646
590493.15,GW4368,Goodwood,ZJEN02,2,0.18,291.20210136986304
590000.0,GW4381,Goodwood,ZJEN02,3,0.18,290.958904109589
100000.0,HVF203,Heron View,ZHUM01,2,0.14,38.35616438356165
500000.0,HVP201,Heron View,ZZEE01,2,0.18,246.57534246575344
550000.0,GW3633,Goodwood,ZZEE01,3,0.18,271.2328767123288
550000.0,GW4287,Goodwood,ZZEE01,4,0.18,271.2328767123288
245807.53,GW4708,Goodwood,ZZEE01,5,0.18,121.22015178082192
550000.0,GW4782,Goodwood,ZZEE01,6,0.18,271.2328767123288
200000.0,HVP201,Heron View,ZDEF01,1,0.14,76.7123287671233
100000.0,HVP201,Heron View,ZJAN05,1,0.14,38.35616438356165
100000.0,HVP201,Heron View,ZBAL02,1,0.14,38.35616438356165
500000.0,HVO305,Heron View,ZDEV01,2,0.18,246.57534246575344
124599.32,HVK403,Heron View,ZTHA01,3,0.16,54.618880000000004
229795.89,HVO201,Heron View,ZTHA01,4,0.16,100.73244493150685
100000.0,HVG203,Heron View,ZTHA01,5,0.18,49.31506849315068
231000.0,GW3187,Goodwood,ZTHA01,9,0.18,113.91780821917808
100000.0,GW4708,Goodwood,ZTHA01,6,0.16,43.83561643835616
114853.42,GW4708,Goodwood,ZTHA01,8,0.16,50.34670465753425
100000.01,GW4708,Goodwood,ZTHA01,7,0.16,43.83562082191781
243123.29,HVF102,Heron View,ZTHA01,10,0.18,119.89641698630136
250000.0,HVC204,Heron View,ZVAN10,1,0.14,95.89041095890411
100000.0,HVO205,Heron View,ZVAN10,2,0.18,49.31506849315068
100000.0,HVC305,Heron View,ZDUT01,1,0.14,38.35616438356165
350000.0,HVC305,Heron View,ZBER01,1,0.18,172.6027397260274
500000.0,HVC205,Heron View,ZMIL01,1,0.16,219.17808219178082
400000.0,HVC205,Heron View,ZVIV01,1,0.14,153.4246575342466
100000.0,HVC202,Heron View,ZVAN11,1,0.14,38.35616438356165
100000.0,HVC202,Heron View,ZPER01,1,0.14,38.35616438356165
100000.0,HVC202,Heron View,ZMON01,1,0.14,38.35616438356165
1000000.0,HVK306,Heron View,ZBUF01,1,0.18,493.1506849315069
1000000.0,HVK401,Heron View,ZVAN13,1,0.18,493.1506849315069
500000.0,HVK406,Heron View,ZVAN13,2,0.18,246.57534246575344
1000000.0,HVK402,Heron View,ZVAN14,1,0.18,493.1506849315069
500000.0,HVK406,Heron View,ZVAN14,2,0.18,246.57534246575344
167914.73,HVF101,Heron View,ZLES01,2,0.14,64.4056498630137
200000.0,HVK403,Heron View,ZHAN06,1,0.14,76.7123287671233
100000.0,HVK403,Heron View,ZGRA01,1,0.14,38.35616438356165
1000000.0,HVK405,Heron View,ZVAN15,1,0.18,493.1506849315069
990694.47,HVC302,Heron View,ZCON01,5,0.14,379.9923994520548
600000.0,HVO301,Heron View,ZDEV02,1,0.18,295.8904109589041
900000.0,HVO302,Heron View,ZVIS03,1,0.16,394.52054794520546
100000.0,HVO302,Heron View,ZLER02,1,0.14,38.35616438356165
550000.0,HVG103,Heron View,ZDEJ01,1,0.16,241.0958904109589
350000.0,HVG204,Heron View,ZMOS01,1,0.14,134.24657534246577
400000.0,HVG301,Heron View,ZHAR02,1,0.14,153.4246575342466
500000.0,HVG204,Heron View,ZBAS01,1,0.16,219.17808219178082
400000.0,HVI102,Heron View,ZCOE02,1,0.14,153.4246575342466
1000000.0,HVI103,Heron View,ZSWA02,1,0.18,493.1506849315069
100000.0,HVG304,Heron View,ZJOS01,1,0.14,38.35616438356165
