investment_amount,opportunity_code,Category,investor_acc_number,investment_number,investment_interest_rate,daily_interest
192071.92,HVO203,Heron View,ZVAL01,2,0.14,73.67142136986303
123099.32,HVK402,Heron View,ZVAN02,2,0.14,47.21617753424658
186816.78,HVO102,Heron View,ZRIB01,2,0.14,71.65575123287671
122921.23,HVK206,Heron View,ZGOV01,2,0.14,47.14786904109589
637482.88,HVK303,Heron View,ZDAD01,3,0.18,314.37511890410957
200000.0,HVM204,Heron View,ZDAD01,5,0.18,98.63013698630137
473976.03,HVG302,Heron View,ZDAD01,4,0.18,233.74160383561644
500000.0,GW4608,Goodwood,ZDAD01,6,0.18,246.57534246575344
300000.0,HVL203,Heron View,ZERA02,3,0.14,115.06849315068496
100000.0,HVK202,Heron View,ZBLO01,3,0.14,38.35616438356165
100000.0,HVN304,Heron View,ZBLO01,4,0.14,38.35616438356165
600000.0,HVK204,Heron View,ZKRO03,2,0.16,263.013698630137
418733.56,HVD303,Heron View,ZDIC01,9,0.18,206.49874191780822
500000.0,HVJ103,Heron View,ZDIC01,10,0.18,246.57534246575344
767449.32,HVK206,Heron View,ZDIC01,11,0.18,378.46815780821913
566390.41,HVO105,Heron View,ZDIC01,12,0.18,279.31581863013696
500000.0,HVJ101,Heron View,ZOLI01,2,0.18,246.57534246575344
560000.0,HVF104,Heron View,ZOLI01,4,0.18,276.16438356164383
1000000.0,HVK104,Heron View,ZNIE01,4,0.18,493.1506849315069
500000.0,HVG301,Heron View,ZNIE01,5,0.18,246.57534246575344
565191.78,GW4395,Goodwood,ZWES01,3,0.16,247.7553008219178
1000004.32,HVL103,Heron View,ZCRO02,2,0.18,493.15281534246566
118664.38,HVC204,Heron View,ZWIL01,2,0.14,45.51510465753425
600000.0,GW3616,Goodwood,ZSCH03,5,0.18,295.8904109589041
500000.0,GW4565,Goodwood,ZSCH03,4,0.18,246.57534246575344
500000.0,GW4589,Goodwood,ZSCH03,6,0.18,246.57534246575344
117205.48,HVC302,Heron View,ZKEW01,2,0.14,44.955526575342475
132283.95,HVF202,Heron View,ZJEN01,3,0.14,50.739049315068506
313690.76,HVC305,Heron View,ZVOL01,4,0.14,120.31974356164385
114058.91,HVK406,Heron View,ZVOL01,5,0.14,43.748623013698634
250000.0,HVL102,Heron View,ZVOL01,6,0.16,109.58904109589041
1100000.0,HVC206,Heron View,ZKRI02,3,0.18,542.4657534246576
1100000.0,HVP303,Heron View,ZKRI02,4,0.18,542.4657534246576
1100000.0,HVI202,Heron View,ZKRI02,5,0.18,542.4657534246576
1100000.0,HVI203,Heron View,ZKRI02,6,0.18,542.4657534246576
550000.0,GW4300,Goodwood,ZKRI02,7,0.18,271.2328767123288
100000.0,GW4604,Goodwood,ZKRI02,8,0.18,49.31506849315068
550000.0,GW4729,Goodwood,ZKRI02,9,0.18,271.2328767123288
300000.0,GW3187,Goodwood,ZSLE01,2,0.14,115.06849315068496
500000.0,HVE201,Heron View,ZSCO01,2,0.16,219.17808219178082
200000.0,HVC204,Heron View,ZSTO01,3,0.16,87.67123287671232
500000.0,GW4266,Goodwood,ZVIS01,3,0.16,219.17808219178082
900000.0,HVM204,Heron View,ZKRI03,2,0.16,394.52054794520546
550000.0,GW4612,Goodwood,ZDEC01,3,0.18,271.2328767123288
450000.0,GW4618,Goodwood,ZDEC01,4,0.18,221.91780821917808
600000.0,HVG202,Heron View,ZSCA02,2,0.18,295.8904109589041
550000.0,HVG103,Heron View,ZSCA02,3,0.18,271.2328767123288
500000.0,HVG304,Heron View,ZSCA02,4,0.18,246.57534246575344
100000.0,HVL204,Heron View,ZNIE02,3,0.14,38.35616438356165
300000.0,HVC202,Heron View,ZRAB02,2,0.14,115.06849315068496
100000.0,HVO305,Heron View,ZSOU02,2,0.14,38.35616438356165
254678.6,GW4834,Goodwood,ZDEH01,3,0.14,97.68494246575342
602626.71,HVO103,Heron View,ZMOO02,3,0.18,297.1857747945205
1000000.0,HVG201,Heron View,ZREN01,4,0.18,493.1506849315069
500000.0,HVG304,Heron View,ZREN01,5,0.18,246.57534246575344
